latitude,longtitude,depth,temperature,time
,,0.874,28.4,1782049954095
,,0.864,28.4,1782049954156
,,0.843,28.4,1782049954239
,,0.843,28.4,1782049954323
,,0.853,28.4,1782049954407
,,0.833,28.4,1782049954490
,,0.843,28.4,1782049954574
,,0.864,28.4,1782049954657
,,0.905,28.4,1782049954740
,,0.926,28.4,1782049954822
,,0.968,28.4,1782049954906
44.16175333333334,8.334923333333334,0.999,0.0,1782049955000
,,0.999,28.4,1782049955002
,,1.041,28.4,1782049955069
,,1.062,28.4,1782049955152
,,1.072,28.4,1782049955236
,,1.103,28.4,1782049955318
,,1.134,28.4,1782049955407
,,1.145,28.4,1782049955484
,,1.166,28.4,1782049955580
,,1.166,28.4,1782049955652
,,1.155,28.4,1782049955733
,,1.155,28.4,1782049955816
,,1.134,28.4,1782049955907
,,1.124,28.4,1782049955982
44.16175833333333,8.334916666666667,1.124,0.0,1782049956000
,,1.124,28.4,1782049956065
,,1.145,28.4,1782049956148
,,1.145,28.4,1782049956231
,,1.093,28.4,1782049956314
,,1.072,28.4,1782049956397
,,1.041,28.4,1782049956502
,,1.041,28.4,1782049956563
,,1.030,28.4,1782049956646
,,1.020,28.4,1782049956729
,,1.020,28.4,1782049956812
,,0.999,28.4,1782049956895
,,1.020,28.4,1782049956978
44.161764999999995,8.334911666666667,1.041,0.0,1782049957000
,,1.041,28.4,1782049957061
,,1.041,28.4,1782049957146
,,1.062,28.4,1782049957230
,,1.093,28.4,1782049957310
,,1.103,28.4,1782049957507
,,1.103,28.4,1782049957559
,,1.134,28.4,1782049957708
,,1.166,28.4,1782049957727
,,1.197,28.4,1782049957913
,,1.218,28.4,1782049957937
,,1.238,28.4,1782049957975
44.16176833333334,8.334908333333335,1.207,0.0,1782049958000
,,1.207,28.4,1782049958117
,,1.197,28.4,1782049958140
,,1.197,28.4,1782049958325
,,1.166,28.4,1782049958345
,,1.166,28.4,1782049958527
,,1.176,28.4,1782049958528
,,1.186,28.4,1782049958563
,,1.176,28.4,1782049958656
,,1.155,28.4,1782049958841
,,1.145,28.4,1782049958841
,,1.155,28.4,1782049958888
44.161773333333336,8.334906666666665,1.134,0.0,1782049959000
,,1.134,28.4,1782049959057
,,1.155,28.4,1782049959141
,,1.134,28.4,1782049959257
,,1.134,28.4,1782049959311
,,1.145,28.4,1782049959449
,,1.124,28.4,1782049959470
,,1.093,28.4,1782049959757
,,1.062,28.4,1782049959758
,,1.041,28.4,1782049959758
,,1.009,28.4,1782049959807
,,0.978,28.4,1782049959905
,,0.947,28.4,1782049959966
44.161775000000006,8.334906666666665,0.957,0.0,1782049960000
,,0.957,28.4,1782049960049
,,0.978,28.4,1782049960156
,,1.020,28.4,1782049960215
,,0.999,28.4,1782049960298
,,0.999,28.4,1782049960383
,,1.041,28.4,1782049960464
,,1.082,28.4,1782049960547
,,1.124,28.4,1782049960630
,,1.155,28.4,1782049960713
,,1.197,28.4,1782049960796
,,1.197,28.4,1782049960879
,,1.207,28.4,1782049960962
44.16177,8.33491,1.186,0.0,1782049961000
,,1.186,28.4,1782049961055
,,1.155,28.4,1782049961128
,,1.114,28.4,1782049961211
,,1.124,28.4,1782049961298
,,1.093,28.4,1782049961377
,,1.062,28.4,1782049961460
,,1.009,28.4,1782049961543
,,0.978,28.4,1782049961655
,,0.947,28.4,1782049961709
,,0.926,28.4,1782049961795
,,0.957,28.4,1782049961875
,,0.968,28.4,1782049961958
44.16176666666667,8.33491,0.978,0.0,1782049962000
,,0.978,28.4,1782049962041
,,1.009,28.4,1782049962124
,,1.020,28.4,1782049962207
,,0.999,28.4,1782049962290
,,0.989,28.4,1782049962373
,,0.989,28.4,1782049962456
,,0.989,28.4,1782049962555
,,0.989,28.4,1782049962622
,,0.989,28.4,1782049962705
,,0.978,28.4,1782049962789
,,0.926,28.4,1782049962872
,,0.874,28.4,1782049962959
44.16176666666667,8.33491,0.822,0.0,1782049963000
,,0.822,28.4,1782049963039
,,0.781,28.4,1782049963121
,,0.760,28.4,1782049963205
,,0.760,28.4,1782049963288
,,0.739,28.4,1782049963374
,,0.739,28.4,1782049963452
,,0.739,28.4,1782049963534
,,0.718,28.4,1782049963621
,,0.697,28.4,1782049963700
,,0.697,28.4,1782049963783
,,0.718,28.4,1782049963866
,,0.749,28.4,1782049963978
44.16177,8.334913333333333,0.749,0.0,1782049964000
,,0.749,28.4,1782049964032
,,0.760,28.4,1782049964262
,,0.770,28.4,1782049964284
,,0.781,28.4,1782049964473
,,0.791,28.4,1782049964473
,,0.791,28.4,1782049964530
,,0.791,28.4,1782049964774
,,0.781,28.4,1782049964774
,,0.770,28.4,1782049964810
,,0.770,28.4,1782049964876
,,0.781,28.4,1782049964979
44.16176833333334,8.334913333333333,0.801,0.0,1782049965000
,,0.801,28.4,1782049965029
,,0.833,28.4,1782049965219
,,0.853,28.4,1782049965220
,,0.853,28.4,1782049965279
,,0.843,28.4,1782049965364
,,0.822,28.4,1782049965472
,,0.812,28.4,1782049965530
,,0.791,28.4,1782049965612
,,0.791,28.4,1782049965696
,,0.770,28.4,1782049965779
,,0.760,28.4,1782049965861
,,0.739,28.4,1782049965944
44.161764999999995,8.334913333333333,0.708,0.0,1782049966000
,,0.708,28.4,1782049966031
,,0.687,28.4,1782049966114
,,0.656,28.4,1782049966196
,,0.697,28.4,1782049966279
,,0.728,28.4,1782049966378
,,0.728,28.4,1782049966445
,,0.739,28.4,1782049966529
,,0.739,28.4,1782049966633
,,0.739,28.4,1782049966694
,,0.739,28.4,1782049966822
,,0.739,28.4,1782049966860
,,0.749,28.4,1782049966993
44.161764999999995,8.334916666666667,0.781,0.0,1782049967000
,,0.781,28.4,1782049967030
,,0.781,28.4,1782049967112
,,0.801,28.4,1782049967195
,,0.749,28.4,1782049967279
,,0.718,28.4,1782049967361
,,0.718,28.4,1782049967445
,,0.718,28.4,1782049967529
,,0.708,28.4,1782049967610
,,0.697,28.4,1782049967694
,,0.687,28.4,1782049967776
,,0.687,28.4,1782049967897
,,0.676,28.4,1782049967945
44.161763333333326,8.334921666666666,0.656,0.0,1782049968000
,,0.656,28.4,1782049968025
,,0.656,28.4,1782049968108
,,0.656,28.4,1782049968191
,,0.676,28.4,1782049968274
,,0.697,28.4,1782049968357
,,0.718,28.4,1782049968440
,,0.739,28.4,1782049968525
,,0.760,28.4,1782049968606
,,0.770,28.4,1782049968689
,,0.770,28.4,1782049968777
,,0.791,28.4,1782049968856
,,0.812,28.4,1782049968942
44.16176166666667,8.334925,0.822,0.0,1782049969000
,,0.822,28.4,1782049969024
,,0.843,28.4,1782049969107
,,0.843,28.4,1782049969276
,,0.843,28.4,1782049969379
,,0.843,28.4,1782049969439
,,0.843,28.4,1782049969522
,,0.843,28.4,1782049969605
,,0.843,28.4,1782049969688
,,0.833,28.4,1782049969771
,,0.843,28.4,1782049969854
,,0.812,28.4,1782049969937
44.16175833333333,8.334925,0.801,0.0,1782049970000
,,0.801,28.4,1782049970036
,,0.781,28.4,1782049970119
,,0.770,28.4,1782049970186
,,0.770,28.4,1782049970286
,,0.770,28.4,1782049970354
,,0.791,28.4,1782049970468
,,0.781,28.4,1782049970518
,,0.781,28.4,1782049970602
,,0.770,28.4,1782049970708
,,0.770,28.4,1782049970769
,,0.760,28.4,1782049970879
,,0.770,28.4,1782049970935
44.16175666666666,8.334925,0.781,0.0,1782049971000
,,0.781,28.4,1782049971019
,,0.801,28.4,1782049971102
,,0.791,28.4,1782049971191
,,0.770,28.4,1782049971266
,,0.770,28.4,1782049971432
,,0.770,28.4,1782049971520
,,0.770,28.4,1782049971598
,,0.770,28.4,1782049971681
,,0.770,28.4,1782049971780
,,0.749,28.4,1782049971846
,,0.770,28.4,1782049971930
44.16175666666666,8.334925,0.770,0.0,1782049972000
,,0.770,28.4,1782049972013
,,0.781,28.4,1782049972096
,,0.781,28.4,1782049972179
,,0.801,28.4,1782049972262
,,0.812,28.4,1782049972379
,,0.812,28.4,1782049972430
,,0.812,28.4,1782049972556
,,0.812,28.4,1782049972594
,,0.822,28.4,1782049972761
,,0.822,28.4,1782049972761
,,0.833,28.4,1782049972863
,,0.822,28.4,1782049972926
44.16175499999999,8.334923333333334,0.822,0.0,1782049973000
,,0.822,28.4,1782049973020
,,0.833,28.4,1782049973091
,,0.833,28.4,1782049973185
,,0.833,28.4,1782049973266
,,0.833,28.4,1782049973341
,,0.833,28.4,1782049973424
,,0.843,28.4,1782049973506
,,0.843,28.4,1782049973590
,,0.853,28.4,1782049973673
,,0.853,28.4,1782049973756
,,0.853,28.4,1782049973839
,,0.885,28.4,1782049973923
44.16175499999999,8.334923333333334,0.895,0.0,1782049974000
,,0.895,28.4,1782049974005
